model_id,task_id,score,reported_by,url,notes
qwen3.5-397b-a17b,mathvista,90.3,Qwen,https://qwen.ai/blog?id=qwen3.5#vision-language,(mini)
qwen3.5-397b-a17b,zerobench,4,Qwen,https://qwen.ai/blog?id=qwen3.5#vision-language,
qwen3.5-397b-a17b,ocrbench,87.5,Qwen,https://qwen.ai/blog?id=qwen3.5#vision-language,
qwen3-vl-2b,mmmu,53.4,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b-thinking,mmmu,61.4,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b,mmmu,67.4,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b-thinking,mmmu,70.8,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b,mmmu,69.6,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b-thinking,mmmu,74.1,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b,mathvista,61.3,Qwen,https://arxiv.org/pdf/2511.21631,(mini)
qwen3-vl-2b-thinking,mathvista,73.6,Qwen,https://arxiv.org/pdf/2511.21631,(mini)
qwen3-vl-4b,mathvista,73.7,Qwen,https://arxiv.org/pdf/2511.21631,(mini)
qwen3-vl-4b-thinking,mathvista,79.5,Qwen,https://arxiv.org/pdf/2511.21631,(mini)
qwen3-vl-8b,mathvista,77.2,Qwen,https://arxiv.org/pdf/2511.21631,(mini)
qwen3-vl-8b-thinking,mathvista,81.4,Qwen,https://arxiv.org/pdf/2511.21631,(mini)
qwen3-vl-2b,docvqa,93.3,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-2b-thinking,docvqa,92.9,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-4b,docvqa,95.3,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-4b-thinking,docvqa,94.2,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-8b,docvqa,96.1,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-8b-thinking,docvqa,95.3,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-2b,infovqa,72.4,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-2b-thinking,infovqa,77.1,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-4b,infovqa,80.3,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-4b-thinking,infovqa,83.0,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-8b,infovqa,86.0,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-8b-thinking,infovqa,83.1,Qwen,https://arxiv.org/pdf/2511.21631,(test)
qwen3-vl-2b,blink,53.8,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b-thinking,blink,57.2,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b,blink,65.,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b-thinking,blink,63.4,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b,blink,69.1,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b-thinking,blink,64.7,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b,rwqa,63.9,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b-thinking,rwqa,69.5,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b,rwqa,70.9,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b-thinking,rwqa,73.2,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b,rwqa,71.5,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b-thinking,rwqa,73.5,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b,mmstar,58.3,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b-thinking,mmstar,68.1,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b,mmstar,69.8,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b-thinking,mmstar,73.2,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b,mmstar,70.9,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b-thinking,mmstar,75.3,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b,chartqa,79.1,Qwen,https://arxiv.org/pdf/2511.21631,Test
